machine_configuration,use_buffer,write_buffer_bytes,connection_type,read_buffer_bytes,duration_sec,num_syscalls,short_reads,throughput (MiB/s)
gcp_amd_localhost,false,4096,TCP,8388608,2.131017591,146573,146573,2565.4
gcp_amd_localhost,false,4096,TCP,16777216,1.739327112,24318,24318,3137.6
gcp_amd_localhost,false,8192,unix,1,1.431232535,5955926,0,4
gcp_amd_localhost,false,8192,unix,2,2.008870422,8474576,0,8
gcp_amd_localhost,false,8192,unix,4,2.006589341,8449514,0,16.1
gcp_amd_localhost,false,8192,unix,8,2.036667073,8514262,0,31.9
gcp_amd_localhost,false,8192,unix,16,2.055135501,8488965,0,63
gcp_amd_localhost,false,8192,unix,32,2.058209521,8532424,0,126.5
gcp_amd_localhost,false,8192,unix,64,2.016439305,8183307,0,247.7
gcp_amd_localhost,false,8192,unix,128,2.084032132,7949127,1,465.6
gcp_amd_localhost,false,8192,unix,256,2.17707826,7593015,0,851.5
gcp_amd_localhost,false,8192,unix,512,2.2690692390000002,6980804,1,1502.2
gcp_amd_localhost,false,8192,unix,1024,2.293495498,4977601,0,2119.4
gcp_amd_localhost,false,8192,unix,2048,2.086797474,2522387,0,2360.8
gcp_amd_localhost,false,8192,unix,4096,6.166771722,2881015,1,1824.9
gcp_amd_localhost,false,8192,unix,8192,1.732164349,446728,0,2014.9
gcp_amd_localhost,false,8192,unix,16384,2.075846099,281103,37,2115.7
gcp_amd_localhost,false,8192,unix,32768,2.081009212,138969,110,2085.9
gcp_amd_localhost,false,8192,unix,65536,2.22334667,70736,80,1987.3
gcp_amd_localhost,false,8192,unix,131072,2.071624827,34571,69,2083.8
gcp_amd_localhost,false,8192,unix,262144,2.012243473,17572,115,2176
gcp_amd_localhost,false,8192,unix,524288,1.981874793,8548,92,2143.6
gcp_amd_localhost,false,8192,unix,1048576,2.170698396,4468,127,2021.4
gcp_amd_localhost,false,8192,unix,2097152,1.957101548,2156,103,2140
gcp_amd_localhost,false,8192,unix,4194304,1.836870016,1032,54,2191.1
gcp_amd_localhost,false,8192,unix,8388608,1.949131166,562,55,2170.6
gcp_amd_localhost,false,8192,unix,16777216,1.774676598,274,72,2099.8
gcp_amd_localhost,false,8192,TCP,1,1.690410271,5729017,0,3.2
gcp_amd_localhost,false,8192,TCP,2,2.001295164,6765900,1,6.4
gcp_amd_localhost,false,8192,TCP,4,2.022427022,6847205,0,12.9
gcp_amd_localhost,false,8192,TCP,8,2.002091363,6770481,0,25.8
gcp_amd_localhost,false,8192,TCP,16,1.991494173,6715918,1,51.5
gcp_amd_localhost,false,8192,TCP,32,2.042443063,6691425,0,100
gcp_amd_localhost,false,8192,TCP,64,2.025320469,6551149,0,197.4
gcp_amd_localhost,false,8192,TCP,128,1.980162625,6151954,0,379.2
gcp_amd_localhost,false,8192,TCP,256,2.036955818,6136852,0,735.5
gcp_amd_localhost,false,8192,TCP,512,2.141026936,6035004,0,1376.3
gcp_amd_localhost,false,8192,TCP,1024,1.5373916909999998,3792908,0,2409.3
gcp_amd_localhost,false,8192,TCP,2048,3.830433698,4161477,23,2121.9
gcp_amd_localhost,false,8192,TCP,4096,3.591470443,3836616,106,4172.8
gcp_amd_localhost,false,8192,TCP,8192,2.953120463,1397990,537,3697.7
gcp_amd_localhost,false,8192,TCP,16384,1.290456665,303971,33397,3478.6
gcp_amd_localhost,false,8192,TCP,32768,2.202826115,292046,123273,3281.8
gcp_amd_localhost,false,8192,TCP,65536,1.381912455,90399,86103,2838.2
gcp_amd_localhost,false,8192,TCP,131072,2.487740263,164428,157769,3176.5
gcp_amd_localhost,false,8192,TCP,262144,2.152998384,143958,138297,3549.1
gcp_amd_localhost,false,8192,TCP,524288,1.823933669,129626,127911,3583.1
gcp_amd_localhost,false,8192,TCP,1048576,2.20782892,135258,133682,3419.2
gcp_amd_localhost,false,8192,TCP,2097152,3.048526179,4967,1223,2478.8
gcp_amd_localhost,false,8192,TCP,4194304,1.89032785,59954,59954,3379.5
gcp_amd_localhost,false,8192,TCP,8388608,2.017716805,9737,9737,3220.1
gcp_amd_localhost,false,8192,TCP,16777216,2.173040234,29657,29657,3182.1
gcp_amd_localhost,false,16384,unix,1,1.390461395,5894488,0,4
gcp_amd_localhost,false,16384,unix,2,2.024147449,8561644,0,8.1
gcp_amd_localhost,false,16384,unix,4,2.013218892,8507019,0,16.1
gcp_amd_localhost,false,16384,unix,8,1.9997256129999998,8471346,0,32.3
gcp_amd_localhost,false,16384,unix,16,2.016724955,8438819,0,63.8
gcp_amd_localhost,false,16384,unix,32,2.014486883,8421053,0,127.6
gcp_amd_localhost,false,16384,unix,64,2.029354852,8347246,0,251.1
gcp_amd_localhost,false,16384,unix,128,2.076999893,8166600,1,480
gcp_amd_localhost,false,16384,unix,256,2.165642939,8009613,1,903
gcp_amd_localhost,false,16384,unix,512,1.486182256,4876860,0,1602.3
gcp_amd_localhost,false,16384,unix,1024,2.504079485,5815645,1,2268
gcp_amd_localhost,false,16384,unix,2048,3.543710436,4652246,1,2564.1
gcp_amd_localhost,false,16384,unix,4096,4.290131592,2158896,1,1965.7
gcp_amd_localhost,false,16384,unix,8192,1.7510913750000001,491583,1,2193.2
gcp_amd_localhost,false,16384,unix,16384,1.816126307,244928,1,2107.2
gcp_amd_localhost,false,16384,unix,32768,1.797519315,126330,91,2195.5
gcp_amd_localhost,false,16384,unix,65536,1.747255092,64775,40,2316.3
gcp_amd_localhost,false,16384,unix,131072,1.9917862579999999,36961,116,2315.9
gcp_amd_localhost,false,16384,unix,262144,1.983114353,18266,121,2294.4
gcp_amd_localhost,false,16384,unix,524288,2.039661969,9483,110,2310.6
gcp_amd_localhost,false,16384,unix,1048576,2.070998759,4811,110,2292.4
gcp_amd_localhost,false,16384,unix,2097152,1.816697706,2151,153,2261.8
gcp_amd_localhost,false,16384,unix,4194304,2.004798747,1246,158,2297.6
gcp_amd_localhost,false,16384,unix,8388608,2.022341628,648,115,2296.5
gcp_amd_localhost,false,16384,unix,16777216,1.980333141,353,107,2323.2
gcp_amd_localhost,false,16384,TCP,1,1.6488327699999998,5633802,0,3.3
gcp_amd_localhost,false,16384,TCP,2,1.998783023,6837607,0,6.5
gcp_amd_localhost,false,16384,TCP,4,2.001302441,6788867,0,12.9
gcp_amd_localhost,false,16384,TCP,8,1.9727099030000002,6691201,0,25.9
gcp_amd_localhost,false,16384,TCP,16,2.012261449,6798097,1,51.5
gcp_amd_localhost,false,16384,TCP,32,2.102829688,6898931,0,100.1
gcp_amd_localhost,false,16384,TCP,64,2.06049231,6680027,0,197.9
gcp_amd_localhost,false,16384,TCP,128,1.853247343,5853088,0,385.5
gcp_amd_localhost,false,16384,TCP,256,2.018879312,6251954,0,756
gcp_amd_localhost,false,16384,TCP,512,2.223457947,6406150,0,1406.8
gcp_amd_localhost,false,16384,TCP,1024,1.48786911,3767117,0,2472.5
gcp_amd_localhost,false,16384,TCP,2048,3.165984951,3767232,87,2324
gcp_amd_localhost,false,16384,TCP,4096,2.557401817,2266316,105,3461.6
gcp_amd_localhost,false,16384,TCP,8192,3.3024233179999998,1476515,5806,3486.1
gcp_amd_localhost,false,16384,TCP,16384,2.80617468,565221,9992,3119.4
gcp_amd_localhost,false,16384,TCP,32768,1.637683853,172023,42490,2907.5
gcp_amd_localhost,false,16384,TCP,65536,1.410895609,107970,83803,3308.9
gcp_amd_localhost,false,16384,TCP,131072,2.953291342,172761,163823,2707.9
gcp_amd_localhost,false,16384,TCP,262144,1.587234721,95870,89589,3264.9
gcp_amd_localhost,false,16384,TCP,524288,2.325239319,126526,122448,3100.2
gcp_amd_localhost,false,16384,TCP,1048576,1.449492494,68163,66604,2982.5
gcp_amd_localhost,false,16384,TCP,2097152,1.9658506,2378,0,2418.5
gcp_amd_localhost,false,16384,TCP,4194304,2.011355819,9005,9005,3332.2
gcp_amd_localhost,false,16384,TCP,8388608,2.099808516,20226,20226,3072.6
gcp_amd_localhost,false,16384,TCP,16777216,2.120558565,54433,54433,2780.1
gcp_amd_localhost,false,32768,unix,1,1.378766336,5742176,0,4
gcp_amd_localhost,false,32768,unix,2,2.014310311,8488964,0,8
gcp_amd_localhost,false,32768,unix,4,1.978662575,8343415,0,16.1
gcp_amd_localhost,false,32768,unix,8,1.859909095,7852376,0,32.2
gcp_amd_localhost,false,32768,unix,16,2.024485555,8539710,0,64.4
gcp_amd_localhost,false,32768,unix,32,1.969606102,8240627,0,127.7
gcp_amd_localhost,false,32768,unix,64,2.031279666,8357711,1,251.1
gcp_amd_localhost,false,32768,unix,128,2.086149608,8183307,0,478.8
gcp_amd_localhost,false,32768,unix,256,2.102613271,7806402,0,906.4
gcp_amd_localhost,false,32768,unix,512,2.125679016,6958943,0,1598.5
gcp_amd_localhost,false,32768,unix,1024,2.8053196,6613758,1,2302.3
gcp_amd_localhost,false,32768,unix,2048,1.929083174,2562460,0,2594.4
gcp_amd_localhost,false,32768,unix,4096,5.7211375669999995,2969607,1,2027.6
gcp_amd_localhost,false,32768,unix,8192,2.07631089,590982,0,2223.7
gcp_amd_localhost,false,32768,unix,16384,2.093474451,320211,0,2389.9
gcp_amd_localhost,false,32768,unix,32768,1.80730658,142596,0,2465.6
gcp_amd_localhost,false,32768,unix,65536,2.010244204,75058,545,2325.1
gcp_amd_localhost,false,32768,unix,131072,1.896814271,36262,491,2374.5
gcp_amd_localhost,false,32768,unix,262144,2.026746256,20287,324,2483.6
gcp_amd_localhost,false,32768,unix,524288,2.039234942,10328,506,2474
gcp_amd_localhost,false,32768,unix,1048576,2.011112964,5243,586,2456.6
gcp_amd_localhost,false,32768,unix,2097152,1.987919669,2615,260,2488.5
gcp_amd_localhost,false,32768,unix,4194304,2.001852153,1382,247,2468.6
gcp_amd_localhost,false,32768,unix,8388608,2.000669125,769,244,2433.5
gcp_amd_localhost,false,32768,unix,16777216,2.04942743,713,549,2343.3
gcp_amd_localhost,false,32768,TCP,1,1.944724866,6668889,0,3.3
gcp_amd_localhost,false,32768,TCP,2,2.012389291,6901312,1,6.5
gcp_amd_localhost,false,32768,TCP,4,1.990891956,6830601,0,13.1
gcp_amd_localhost,false,32768,TCP,8,2.017692106,6884682,0,26
gcp_amd_localhost,false,32768,TCP,16,2.003301481,6842286,1,52.1
gcp_amd_localhost,false,32768,TCP,32,2.030203062,6839946,0,102.8
gcp_amd_localhost,false,32768,TCP,64,2.036277224,6809438,0,204.1
gcp_amd_localhost,false,32768,TCP,128,2.12139543,6706909,0,385.9
gcp_amd_localhost,false,32768,TCP,256,2.049220641,6244147,0,743.9
gcp_amd_localhost,false,32768,TCP,512,2.071214683,5986232,0,1411.2
gcp_amd_localhost,false,32768,TCP,1024,2.279151344,5722463,3,2451.9
gcp_amd_localhost,false,32768,TCP,2048,3.331655779,2781476,62400,1612.3
gcp_amd_localhost,false,32768,TCP,4096,2.369750502,1022733,49545,1645
gcp_amd_localhost,false,32768,TCP,8192,1.7888728889999999,509479,27557,2164.9
gcp_amd_localhost,false,32768,TCP,16384,3.078925467,694378,4149,3513.3
gcp_amd_localhost,false,32768,TCP,32768,2.002913697,150258,9910,2267.2
gcp_amd_localhost,false,32768,TCP,65536,1.789898379,88439,13558,2864.4
gcp_amd_localhost,false,32768,TCP,131072,1.612350757,60874,38131,3134.7
gcp_amd_localhost,false,32768,TCP,262144,2.852984797,68694,45008,2950.9
gcp_amd_localhost,false,32768,TCP,524288,3.220373563,83512,74530,2642.9
gcp_amd_localhost,false,32768,TCP,1048576,2.001337456,29074,25785,2358.8
gcp_amd_localhost,false,32768,TCP,2097152,2.005591416,2446,0,2438.8
gcp_amd_localhost,false,32768,TCP,4194304,2.081747601,6242,6242,3445.1
gcp_amd_localhost,false,32768,TCP,8388608,2.119297267,8392,8392,3420.9
gcp_amd_localhost,false,32768,TCP,16777216,1.960959629,15925,15925,3264.5
gcp_amd_localhost,false,65536,unix,1,1.431550814,5998800,0,4
gcp_amd_localhost,false,65536,unix,2,2.02173064,8492930,0,8
gcp_amd_localhost,false,65536,unix,4,2.011310028,8478169,0,16.1
gcp_amd_localhost,false,65536,unix,8,2.009363198,8449515,0,32.1
gcp_amd_localhost,false,65536,unix,16,2.040949114,8550298,0,63.9
gcp_amd_localhost,false,65536,unix,32,2.017708198,8413968,0,127.3
gcp_amd_localhost,false,65536,unix,64,2.028694651,8368201,0,251.8
gcp_amd_localhost,false,65536,unix,128,1.9882043029999998,7864731,7,482.9
gcp_amd_localhost,false,65536,unix,256,2.038122533,7722029,41,925
gcp_amd_localhost,false,65536,unix,512,1.613754357,5558692,95,1681.9
gcp_amd_localhost,false,65536,unix,1024,2.141588191,5807419,435,2648.1
gcp_amd_localhost,false,65536,unix,2048,1.995327095,3570054,1074,3494
gcp_amd_localhost,false,65536,unix,4096,2.253704851,1852102,501,3209.7
gcp_amd_localhost,false,65536,unix,8192,2.319463543,932131,1108,3137.8
gcp_amd_localhost,false,65536,unix,16384,2.100354714,479555,1414,3562.2
gcp_amd_localhost,false,65536,unix,32768,2.127502348,245880,2247,3595.1
gcp_amd_localhost,false,65536,unix,65536,1.981966514,131712,152,4151
gcp_amd_localhost,false,65536,unix,131072,2.032286639,66524,791,4061.5
gcp_amd_localhost,false,65536,unix,262144,2.109717845,33286,1323,3852.3
gcp_amd_localhost,false,65536,unix,524288,2.14231893,17896,2773,3731.4
gcp_amd_localhost,false,65536,unix,1048576,1.669482302,7310,1650,3817.4
gcp_amd_localhost,false,65536,unix,2097152,1.96527715,4090,176,4054.2
gcp_amd_localhost,false,65536,unix,4194304,2.00824565,2611,814,3934.7
gcp_amd_localhost,false,65536,unix,8388608,1.994902056,1260,438,3880.8
gcp_amd_localhost,false,65536,unix,16777216,1.9669503590000001,1076,866,3765.5
gcp_amd_localhost,false,65536,TCP,1,1.380850561,4749465,0,3.3
gcp_amd_localhost,false,65536,TCP,2,2.023099113,6891799,1,6.5
gcp_amd_localhost,false,65536,TCP,4,2.018531326,6830602,1,12.9
gcp_amd_localhost,false,65536,TCP,8,2.014011587,6844862,0,25.9
gcp_amd_localhost,false,65536,TCP,16,2.009597699,6777594,1,51.5
gcp_amd_localhost,false,65536,TCP,32,2.078045009,6882313,1,101.1
gcp_amd_localhost,false,65536,TCP,64,1.9560285739999999,6429008,0,200.6
gcp_amd_localhost,false,65536,TCP,128,2.111636583,6666667,0,385.4
gcp_amd_localhost,false,65536,TCP,256,2.07504491,6395907,0,752.5
gcp_amd_localhost,false,65536,TCP,512,2.153560035,6242198,0,1415.3
gcp_amd_localhost,false,65536,TCP,1024,2.560868992,5997007,11,2286.9
gcp_amd_localhost,false,65536,TCP,2048,3.409585892,3010237,4,1724.4
gcp_amd_localhost,false,65536,TCP,8192,1.738111591,815436,414,3664.3
gcp_amd_localhost,false,65536,TCP,16384,1.284948853,312036,1475,3785.4
gcp_amd_localhost,false,65536,TCP,32768,3.609663872,310538,1584,2681.6
gcp_amd_localhost,false,65536,TCP,65536,1.774644935,83410,1690,2907.8
gcp_amd_localhost,false,65536,TCP,131072,1.9074534349999999,64943,54564,2456.9
gcp_amd_localhost,false,65536,TCP,262144,1.790484938,57854,52040,2629.8
gcp_amd_localhost,false,65536,TCP,524288,1.494431381,41653,37068,3080.5
gcp_amd_localhost,false,65536,TCP,1048576,1.949842716,26436,22193,2890.9
gcp_amd_localhost,false,65536,TCP,2097152,1.942237289,2485,12,2548.9
gcp_amd_localhost,false,65536,TCP,4194304,2.202810593,6660,6660,3483.8
gcp_amd_localhost,false,65536,TCP,8388608,1.9822700009999998,10192,10192,3675
gcp_amd_localhost,false,65536,TCP,16777216,2.01317114,6218,6218,3630.6
gcp_amd_localhost,false,131072,unix,1,1.10653812,4672897,0,4
gcp_amd_localhost,false,131072,unix,2,2.0105498,8453085,0,8
gcp_amd_localhost,false,131072,unix,4,2.014560269,8507019,0,16.1
gcp_amd_localhost,false,131072,unix,8,1.994765973,8371704,0,32
gcp_amd_localhost,false,131072,unix,16,2.016729949,8478169,0,64.1
gcp_amd_localhost,false,131072,unix,32,2.027737628,8470987,0,127.5
gcp_amd_localhost,false,131072,unix,64,2.01359883,8329516,0,252.5
gcp_amd_localhost,false,131072,unix,128,1.997032023,7914526,5,483.8
gcp_amd_localhost,false,131072,unix,256,2.100485266,7914583,117,919.9
gcp_amd_localhost,false,131072,unix,512,1.897195218,6655687,220,1712.9
gcp_amd_localhost,false,131072,unix,1024,2.095830507,6341441,559,2954.7
gcp_amd_localhost,false,131072,unix,2048,2.082169779,4479071,13356,4195.1
gcp_amd_localhost,false,131072,unix,4096,2.136504931,2363990,27275,4296.9
gcp_amd_localhost,false,131072,unix,8192,1.453673056,915429,16398,4879.8
gcp_amd_localhost,false,131072,unix,16384,2.090214568,717519,27769,5270.4
gcp_amd_localhost,false,131072,unix,32768,1.512004928,285118,21248,5689.7
gcp_amd_localhost,false,131072,unix,65536,2.119997943,211495,35049,5704.4
gcp_amd_localhost,false,131072,unix,131072,1.875897962,103258,28048,6012.2
gcp_amd_localhost,false,131072,unix,262144,1.409397743,45408,27134,5401.5
gcp_amd_localhost,false,131072,unix,524288,2.197369271,46586,39982,5350
gcp_amd_localhost,false,131072,unix,1048576,2.294676146,48445,48318,5070.6
gcp_amd_localhost,false,131072,unix,2097152,2.098246567,31966,31926,5528.1
gcp_amd_localhost,false,131072,unix,4194304,1.50061292,24154,24146,5482.8
gcp_amd_localhost,false,131072,unix,8388608,2.357409937,49577,49577,4939.4
gcp_amd_localhost,false,131072,unix,16777216,2.041181946,27241,27241,5499.1
gcp_amd_localhost,false,131072,TCP,1,1.922287264,6512536,0,3.2
gcp_amd_localhost,false,131072,TCP,2,1.996606072,6830601,0,6.5
gcp_amd_localhost,false,131072,TCP,4,1.710256046,5842658,1,13
gcp_amd_localhost,false,131072,TCP,8,2.035592136,6930008,1,26
gcp_amd_localhost,false,131072,TCP,16,1.966546577,6680028,1,51.8
gcp_amd_localhost,false,131072,TCP,32,2.099449059,6846971,0,99.5
gcp_amd_localhost,false,131072,TCP,64,2.076732053,6759041,0,198.6
gcp_amd_localhost,false,131072,TCP,128,1.950365878,6195787,0,387.8
gcp_amd_localhost,false,131072,TCP,256,1.97854117,6093846,0,751.9
gcp_amd_localhost,false,131072,TCP,512,1.921357897,5521812,0,1403.3
gcp_amd_localhost,false,131072,TCP,1024,1.9700628089999999,4964011,0,2460.7
gcp_amd_localhost,false,131072,TCP,2048,5.004296101,4544343,120086,1750.2
gcp_amd_localhost,false,131072,TCP,4096,1.585097644,2084091,4552,5130.3
gcp_amd_localhost,false,131072,TCP,8192,5.355503035,3046202,72163,4391.3
gcp_amd_localhost,false,131072,TCP,16384,2.614600585,780904,23881,4595.9
gcp_amd_localhost,false,131072,TCP,32768,1.036113881,181704,45105,4808.9
gcp_amd_localhost,false,131072,TCP,65536,3.049131542,247812,133524,3804.9
gcp_amd_localhost,false,131072,TCP,131072,2.107528595,109871,31310,5498.3
gcp_amd_localhost,false,131072,TCP,262144,2.792674222,128743,124482,4518.3
gcp_amd_localhost,false,131072,TCP,524288,1.070011223,47923,45958,5002.8
gcp_amd_localhost,false,131072,TCP,1048576,4.423142818,32245,22385,2720.5
gcp_amd_localhost,false,131072,TCP,2097152,1.997956241,2452,0,2454.1
gcp_amd_localhost,false,131072,TCP,4194304,2.660282477,56984,56984,3540.3
gcp_amd_localhost,false,131072,TCP,8388608,1.936085248,6702,6702,3640.8
gcp_amd_localhost,false,131072,TCP,16777216,2.078409194,6966,6966,3515.2
gcp_amd_localhost,false,262144,unix,1,1.636787216,6925207,0,4
gcp_amd_localhost,false,262144,unix,2,2.021455221,8550663,0,8.1
gcp_amd_localhost,false,262144,unix,4,1.99980174,8478169,0,16.2
gcp_amd_localhost,false,262144,unix,8,2.013463472,8528785,0,32.3
gcp_amd_localhost,false,262144,unix,16,1.99556436,8431704,0,64.5
gcp_amd_localhost,false,262144,unix,32,2.018986302,8474577,0,128.1
gcp_amd_localhost,false,262144,unix,64,2.014842251,8333334,0,252.4
gcp_amd_localhost,false,262144,unix,128,2.023640381,8028908,6,484.3
gcp_amd_localhost,false,262144,unix,256,2.081652099,7923961,64,929.3
gcp_amd_localhost,false,262144,unix,512,1.8595915010000001,6677841,89,1753.4
gcp_amd_localhost,false,262144,unix,1024,1.8227732730000001,5543787,1041,2969.8
gcp_amd_localhost,false,262144,unix,2048,2.133823717,5166768,7439,4725.4
gcp_amd_localhost,false,262144,unix,4096,2.06936254,3049349,27830,5721
gcp_amd_localhost,false,262144,unix,8192,1.7364710479999999,1456382,35601,6462.8
gcp_amd_localhost,false,262144,unix,16384,1.081254272,436231,38709,6038.9
gcp_amd_localhost,false,262144,unix,32768,2.4623792,595621,116177,6788.8
gcp_amd_localhost,false,262144,unix,65536,2.432321182,350195,139042,7200
gcp_amd_localhost,false,262144,unix,131072,2.171672004,204121,144419,8119.8
gcp_amd_localhost,false,262144,unix,262144,1.88713698,145589,138416,8846.6
gcp_amd_localhost,false,262144,unix,524288,2.099380118,159369,156084,9261.5
gcp_amd_localhost,false,262144,unix,1048576,2.902979146,182628,182556,6367.4
gcp_amd_localhost,false,262144,unix,2097152,1.042758305,63759,63746,7310
gcp_amd_localhost,false,262144,unix,4194304,1.9996353340000002,150934,150934,9009.7
gcp_amd_localhost,false,262144,unix,8388608,2.45089327,155413,155413,6974
gcp_amd_localhost,false,262144,unix,16777216,1.298912321,90263,90263,7476.4
gcp_amd_localhost,false,262144,TCP,1,1.3858765370000001,4721435,0,3.2
gcp_amd_localhost,false,262144,TCP,2,2.045129521,6946857,1,6.5
gcp_amd_localhost,false,262144,TCP,4,1.988112484,6697924,0,12.9
gcp_amd_localhost,false,262144,TCP,8,1.951695577,6638123,0,25.9
gcp_amd_localhost,false,262144,TCP,16,2.016167503,6777364,0,51.3
gcp_amd_localhost,false,262144,TCP,32,2.055093991,6745364,1,100.2
gcp_amd_localhost,false,262144,TCP,64,1.9767097150000001,6412312,0,198
gcp_amd_localhost,false,262144,TCP,128,2.127151237,6642312,0,381.2
gcp_amd_localhost,false,262144,TCP,256,2.131129997,6518905,0,746.8
gcp_amd_localhost,false,262144,TCP,512,2.133425247,6101282,0,1396.4
gcp_amd_localhost,false,262144,TCP,1024,2.519638956,5963510,15990,2309.8
gcp_amd_localhost,false,262144,TCP,2048,3.317034524,3085285,95581,1802.6
gcp_amd_localhost,false,262144,TCP,4096,2.3031125279999998,1056890,64946,1765
gcp_amd_localhost,false,262144,TCP,8192,2.072849599,509408,61758,1861.8
gcp_amd_localhost,false,262144,TCP,16384,1.398732313,258971,42749,2751.5
gcp_amd_localhost,false,262144,TCP,32768,3.179962438,473392,147294,4190.8
gcp_amd_localhost,false,262144,TCP,65536,3.8179759349999998,258245,154641,3554.2
gcp_amd_localhost,false,262144,TCP,131072,1.2747333840000001,57079,34965,4043.4
gcp_amd_localhost,false,262144,TCP,262144,3.510599495,131462,106959,4008.2
gcp_amd_localhost,false,262144,TCP,524288,3.341409652,120887,111514,3812.8
gcp_amd_localhost,false,262144,TCP,1048576,1.733184321,33072,30134,2870.8
gcp_amd_localhost,false,262144,TCP,2097152,2.002468937,2465,0,2461.9
gcp_amd_localhost,false,262144,TCP,4194304,1.747786839,10239,10239,3668.7
gcp_amd_localhost,false,262144,TCP,8388608,1.92243677,10881,10881,3812.4
gcp_amd_localhost,false,262144,TCP,16777216,1.932347689,7730,7730,3723.8
gcp_amd_localhost,false,524288,unix,1,1.625666198,6875214,0,4
gcp_amd_localhost,false,524288,unix,2,2.027197303,8542993,0,8
gcp_amd_localhost,false,524288,unix,4,2.006082187,8485363,0,16.1
gcp_amd_localhost,false,524288,unix,8,2.016001316,8503402,0,32.2
gcp_amd_localhost,false,524288,unix,16,2.036086052,8547009,0,64.1
gcp_amd_localhost,false,524288,unix,32,2.028729743,8507019,0,128
gcp_amd_localhost,false,524288,unix,64,1.9569333150000001,8123477,0,253.4
gcp_amd_localhost,false,524288,unix,128,2.065453177,8206818,12,485
gcp_amd_localhost,false,524288,unix,256,2.11690686,8126808,60,937.3
gcp_amd_localhost,false,524288,unix,512,1.741181699,6155794,116,1726.3
